2026-05-30 19:25:28 | INFO     | logger:56 | Logger initialised. Log file: e:\ITI\CI-CD Github\Project\project\logs\app.log
2026-05-30 19:25:28 | INFO     | app:410 | Starting ETL Validator application …
2026-05-30 19:25:29 | INFO     | app:66 | Application window created.
2026-05-30 19:29:56 | DEBUG    | app:384 | Status: File selected: taxi_zone_lookup.csv
2026-05-30 19:29:56 | INFO     | app:231 | File selected: E:/ITI/Data_Exploraion/taxi_zone_lookup.csv
2026-05-30 19:29:57 | INFO     | app:239 | Validation started for: E:/ITI/Data_Exploraion/taxi_zone_lookup.csv
2026-05-30 19:29:57 | DEBUG    | app:384 | Status: Validating data …
2026-05-30 19:29:57 | INFO     | validator:82 | DataValidator initialised for file: E:\ITI\Data_Exploraion\taxi_zone_lookup.csv
2026-05-30 19:29:57 | DEBUG    | validator:119 | Loading CSV file …
2026-05-30 19:29:57 | INFO     | validator:121 | CSV loaded: 265 rows × 4 columns.
2026-05-30 19:29:57 | DEBUG    | validator:125 | Computing dataset shape …
2026-05-30 19:29:57 | DEBUG    | validator:131 | Inspecting column data types …
2026-05-30 19:29:57 | DEBUG    | validator:136 | Counting missing values …
2026-05-30 19:29:57 | INFO     | validator:150 | Total missing values: 4 across 4 columns.
2026-05-30 19:29:57 | DEBUG    | validator:158 | Checking for duplicate rows …
2026-05-30 19:29:57 | INFO     | validator:160 | Duplicate rows found: 0
2026-05-30 19:29:57 | DEBUG    | validator:164 | Computing numeric column statistics …
2026-05-30 19:29:57 | INFO     | validator:177 | Numeric stats computed for columns: ['LocationID']
2026-05-30 19:29:57 | INFO     | validator:105 | Validation completed successfully.
2026-05-30 19:29:57 | DEBUG    | app:384 | Status: Generating reports …
2026-05-30 19:29:57 | INFO     | report_generator:40 | ReportGenerator ready. Output dir: e:\ITI\CI-CD Github\Project\project\output
2026-05-30 19:29:57 | INFO     | report_generator:64 | Generating TXT report …
2026-05-30 19:29:57 | DEBUG    | report_generator:189 | Wrote TXT report: e:\ITI\CI-CD Github\Project\project\output\report_20260530_192957.txt
2026-05-30 19:29:57 | DEBUG    | report_generator:189 | Wrote TXT report: e:\ITI\CI-CD Github\Project\project\output\report.txt
2026-05-30 19:29:57 | INFO     | report_generator:69 | Generating CSV report …
2026-05-30 19:29:57 | DEBUG    | report_generator:196 | Wrote CSV report: e:\ITI\CI-CD Github\Project\project\output\report_20260530_192957.csv
2026-05-30 19:29:57 | DEBUG    | report_generator:196 | Wrote CSV report: e:\ITI\CI-CD Github\Project\project\output\report.csv
2026-05-30 19:29:57 | INFO     | report_generator:74 | Reports saved → e:\ITI\CI-CD Github\Project\project\output\report_20260530_192957.txt | e:\ITI\CI-CD Github\Project\project\output\report_20260530_192957.csv
2026-05-30 19:29:57 | DEBUG    | app:384 | Status: Validation complete — reports saved to output/
2026-05-30 19:44:28 | INFO     | logger:56 | Logger initialised. Log file: E:\ITI\CI-CD Github\Project\project\logs\app.log
2026-05-30 19:44:28 | INFO     | validator:82 | DataValidator initialised for file: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_accepts_existing_file0\clean.csv
2026-05-30 19:44:28 | INFO     | validator:82 | DataValidator initialised for file: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_success_flag0\clean.csv
2026-05-30 19:44:28 | DEBUG    | validator:119 | Loading CSV file …
2026-05-30 19:44:28 | INFO     | validator:121 | CSV loaded: 3 rows × 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:125 | Computing dataset shape …
2026-05-30 19:44:28 | DEBUG    | validator:131 | Inspecting column data types …
2026-05-30 19:44:28 | DEBUG    | validator:136 | Counting missing values …
2026-05-30 19:44:28 | INFO     | validator:150 | Total missing values: 0 across 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:158 | Checking for duplicate rows …
2026-05-30 19:44:28 | INFO     | validator:160 | Duplicate rows found: 0
2026-05-30 19:44:28 | DEBUG    | validator:164 | Computing numeric column statistics …
2026-05-30 19:44:28 | INFO     | validator:177 | Numeric stats computed for columns: ['id', 'age', 'salary']
2026-05-30 19:44:28 | INFO     | validator:105 | Validation completed successfully.
2026-05-30 19:44:28 | INFO     | validator:82 | DataValidator initialised for file: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_no_errors0\clean.csv
2026-05-30 19:44:28 | DEBUG    | validator:119 | Loading CSV file …
2026-05-30 19:44:28 | INFO     | validator:121 | CSV loaded: 3 rows × 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:125 | Computing dataset shape …
2026-05-30 19:44:28 | DEBUG    | validator:131 | Inspecting column data types …
2026-05-30 19:44:28 | DEBUG    | validator:136 | Counting missing values …
2026-05-30 19:44:28 | INFO     | validator:150 | Total missing values: 0 across 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:158 | Checking for duplicate rows …
2026-05-30 19:44:28 | INFO     | validator:160 | Duplicate rows found: 0
2026-05-30 19:44:28 | DEBUG    | validator:164 | Computing numeric column statistics …
